Package,obs repository,obs commit id
A-FOT,git@gitee.com:src-openeuler/A-FOT.git,ed7f29395c632e6ad8e80dbc5bd85e7b5eb5b175
A-Ops,git@gitee.com:src-openeuler/A-Ops.git,053dff2eb9ad4d3987ab65560d66500ee65e00c0
KubeOS,git@gitee.com:misaka00251/KubeOS.git,46787e2f54f4401afde401f07167aad7e9e09719
Thunar,git@gitee.com:src-openeuler/Thunar.git,c577dfb20e294c238bae9068ad5d3dbeea6e2fee
accumulo,git@gitee.com:openeuler-risc-v/accumulo.git,344f17284073f34fb7ce37c6153d2f344a6034f1
activemq,git@gitee.com:misaka00251/activemq.git,90ff440c117072fdec7a0dfd6780dc4a0714a7b4
alertmanager,git@gitee.com:src-openeuler/alertmanager.git,7e331355e259b27b88df3d6a2abd91e74dbbd7e0
argus,git@gitee.com:src-openeuler/argus.git,25d553763aa896b87e6d41b4dd1a996ddc074033
ark,git@gitee.com:src-openeuler/ark.git,289cbdec1b06a56a2e8333472e49990c7aeb51be
atril,git@gitee.com:src-openeuler/atril.git,2b2d56e506a5117b9e3ad2e560f83fdaeeb1eb98
attica,git@gitee.com:src-openeuler/attica.git,30fdce0976a7132ba675a999e755e294541fcba2
auter,git@gitee.com:src-openeuler/auter.git,596a93be78eb10e8082644c350c639f120f26382
avro,git@gitee.com:misaka00251/avro.git,f9e45789a5215cad7d2f2e8375aaeccccbac4a3e
bamf,git@gitee.com:src-openeuler/bamf.git,53bc3c063fc8d9e566f284561e1121adba3069bf
banner,git@gitee.com:src-openeuler/banner.git,402a4605d415672279ccd340a1e5a672a7eea01f
baobab,git@gitee.com:src-openeuler/baobab.git,10b8e6577e943646b61413af22e74453d40e41d0
blackbox_exporter,git@gitee.com:src-openeuler/blackbox_exporter.git,1a09aa9ac1b04ee76082745da409b74c5231c1ad
blueman,git@gitee.com:src-openeuler/blueman.git,bc0789820f48424b0a8e5a3641304448f49cee4a
blur-effect,git@gitee.com:src-openeuler/blur-effect.git,9be8e10e4434b1102240f121acbfbc504dfffdad
byzanz,git@gitee.com:misaka00251/byzanz.git,9dc7fd313032a13990bd79013f147f2cc5934c88
caja,git@gitee.com:src-openeuler/caja.git,f22bc1fe6061f69bb087333e73c81833aa542ebf
canal,git@gitee.com:src-openeuler/canal.git,b0ceb499599a0ee31fa1a7505e92d184476f38e5
catfish,git@gitee.com:src-openeuler/catfish.git,6f34ad0179c25a36a74d7774cd5e4905077284e7
