Package,obs repository,obs commit id
A-Tune,git@gitee.com:src-openeuler/A-Tune.git,75243456da11d68fc329c81ced36e008679ce9d7
BareBonesBrowserLaunch,git@gitee.com:src-openeuler/BareBonesBrowserLaunch.git,e22e6f4ad6805c1ed974fcbeeb0157f0548941e2
CUnit,git@gitee.com:src-openeuler/CUnit.git,0e08effb40b3e65c8a0e03cb6a1c1e9e47c13e67
Cython,git@gitee.com:src-openeuler/Cython.git,968dfe9fab13968ca82eea5c845712061b9e2735
GConf2,git@gitee.com:src-openeuler/GConf2.git,1424b7e494b984c3d8f81cf9295aee5a75b4aea7
GeoIP,git@gitee.com:src-openeuler/GeoIP.git,f428c97972dccb00889667b1fd14df85b22ced28
GeoIP-GeoLite-data,git@gitee.com:src-openeuler/GeoIP-GeoLite-data.git,e6b746f358818605231f34b82c4bbcc02ea4e38c
GraphicsMagick,git@gitee.com:src-openeuler/GraphicsMagick.git,b2ba8b1918f26f5dde7562fbc807c7193312198f
HdrHistogram,git@gitee.com:src-openeuler/HdrHistogram.git,3e2b9e910f5979099b2a86c196a3ddb65c8b7b29
HikariCP,git@gitee.com:src-openeuler/HikariCP.git,69a932153b87c563b469e31bc605e8e329d938c8
ImageMagick,git@gitee.com:src-openeuler/ImageMagick.git,7843dd3c1a85b25cbf0059b6008571cf749cb1d0
Imath,git@gitee.com:src-openeuler/Imath.git,31e4b2b88187b0fdc283ad73ff288198796cd6fd
Judy,git@gitee.com:src-openeuler/Judy.git,b7e790b102c12f44b53b8ff4f651270016abe540
LibRaw,git@gitee.com:src-openeuler/LibRaw.git,583e253aad521ae5d7f619929530d55e862ff9d8
ModemManager,git@gitee.com:src-openeuler/ModemManager.git,261aa49624e787ecdfde0ad4c507b01fdbf9e46e
NetworkManager,git@gitee.com:wangyangdahai/NetworkManager_1.git,3979e4d6a2513f2ccd421fb1b127a717d0f66826
NetworkManager-libreswan,git@gitee.com:src-openeuler/NetworkManager-libreswan.git,b13c694b65210bec86ae4ef6e2f89d30a79da53b
ORBit2,git@gitee.com:src-openeuler/ORBit2.git,72838c1865a6dc25d2e72b56582924165fadab7b
OpenEXR,git@gitee.com:src-openeuler/OpenEXR.git,16030dd212d774119c83a938f616fe2cb9895f5f
OpenIPMI,git@gitee.com:src-openeuler/OpenIPMI.git,be05506c62bce4333c1bc5d8881400ca86563186
PEGTL,git@gitee.com:src-openeuler/PEGTL.git,b19930cd9c3ccf184b4ed19eee221e089f3e5710
PackageKit,git@gitee.com:src-openeuler/PackageKit.git,6441460bb636f3ca4ef1cac7a4d1bcaec672c81a
PyPAM,git@gitee.com:src-openeuler/PyPAM.git,2c0eb39756730c302eda0b7c06b95cf458887758
PyQt4,git@gitee.com:src-openeuler/PyQt4.git,d4a3941198830a35823a4aacca0f8eae868e34ae
PyYAML,git@gitee.com:src-openeuler/PyYAML.git,35718969d92170cb1765a5760fcb81bd6262b957
SDL,git@gitee.com:src-openeuler/SDL.git,8530a0b2a5f81298b22fa0f70615989f8c0c5427
SDL2,git@gitee.com:src-openeuler/SDL2.git,825b9a69e65aaa5ab7cc924cc45c931bd3cdcf91
SDL_sound,git@gitee.com:src-openeuler/SDL_sound.git,86c41e5602111bc65168e19a115d2339f4e08db4
SuperLU,git@gitee.com:src-openeuler/SuperLU.git,1379512416eb8a2cea1c96978210e40dd055b844
TeXamator,git@gitee.com:src-openeuler/TeXamator.git,0335fabb6b4baebb3b78d17758e6547730e1fb7e
Xaw3d,git@gitee.com:src-openeuler/Xaw3d.git,625d9ebd112e92a1e231949ac070c93103eff33d
XmlSchema,git@gitee.com:src-openeuler/XmlSchema.git,21249907a66883fb7668009849ebd80a1bd13248
aalib,git@gitee.com:src-openeuler/aalib.git,bbdcbf3661db143bfe51067d2bb78d044cdef8ed
aalto-xml,git@gitee.com:src-openeuler/aalto-xml.git,927c5e23a46df2b0c59314d1028ed5f33bc7a17e
abattis-cantarell-fonts,git@gitee.com:src-openeuler/abattis-cantarell-fonts.git,c85eb7670f0bc14a2ab9bb2099386e4307e79404
abi-dumper,git@gitee.com:src-openeuler/abi-dumper.git,70f33c82b4d3087de45d800427deca67e0274966
abrt,git@gitee.com:src-openeuler/abrt.git,2ed7935aec229a7f55efb77defb86eee59716aa7
abseil-cpp,git@gitee.com:src-openeuler/abseil-cpp.git,7789e38ec3d0a8ddbbc8b1fbbab558136e46834c
accountsservice,git@gitee.com:src-openeuler/accountsservice.git,77d8043e9d35b589036565d693bdaf4feb56649e
acl,git@gitee.com:wangyangdahai/acl.git,26238ef0cefb8b10fa5bb597ee60d04730148262
acpica-tools,git@gitee.com:src-openeuler/acpica-tools.git,9de2d91e232fba81b519082407014b8d663dd7a6
acpid,git@gitee.com:openeuler-risc-v/acpid.git,aca30936e319c5fb036e8cdab579d628b84f0314
adcli,git@gitee.com:src-openeuler/adcli.git,75f64011bf467a38087bdfc0736eb711151ff58d
adobe-mappings-cmap,git@gitee.com:src-openeuler/adobe-mappings-cmap.git,2328af1cabf127227b37625aa1dfdcc5d1dcdc4c
adobe-mappings-pdf,git@gitee.com:src-openeuler/adobe-mappings-pdf.git,8d2d4c3783bb7834f168127cb575e179d007bee7
adwaita-icon-theme,git@gitee.com:src-openeuler/adwaita-icon-theme.git,b3097ccd40b5260a987991658807d59f6f1f0f1b
adwaita-qt,git@gitee.com:src-openeuler/adwaita-qt.git,1198374b02e17576b76d0ca161c0cc0f7ed16995
aesh,git@gitee.com:src-openeuler/aesh.git,076ec1b427ab6da5c073416de03dc8cddac51626
afflib,git@gitee.com:openeuler-risc-v/afflib.git,e331b3abc77e661a0858177c296052c696acf896
aide,git@gitee.com:src-openeuler/aide.git,a562fc83ec9be533ac3699527fe9a4d0730f4105
